ID: 2, Start Latitude: 6.597618069862447, Start Longitude: 79.9583157437416, End Latitude: 6.4134, End Longitude: 80.003183
ID: 3, Start Latitude: 6.597618069862447, Start Longitude: 79.9583157437416, End Latitude: 6.4134, End Longitude: 80.003183
ID: 4, Start Latitude: 6.597618069862447, Start Longitude: 79.9583157437416, End Latitude: 6.4134, End Longitude: 80.003183
ID: 2, Start Latitude: 6.597606867356374, Start Longitude: 79.95831926900158, End Latitude: 6.4134, End Longitude: 80.003183
ID: 3, Start Latitude: 6.597606867356374, Start Longitude: 79.95831926900158, End Latitude: 6.4134, End Longitude: 80.003183
ID: 2, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 3, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 4, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 2, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 2, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 4, Start Latitude: 6.597618069862447, Start Longitude: 79.9583157437416, End Latitude: 6.4134, End Longitude: 80.003183
ID: 4, Start Latitude: 6.597618069862447, Start Longitude: 79.9583157437416, End Latitude: 6.4134, End Longitude: 80.003183
ID: 5, Start Latitude: 6.597618069862447, Start Longitude: 79.9583157437416, End Latitude: 6.4134, End Longitude: 80.003183
ID: 8, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 8, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 8, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 9, Start Latitude: 6.597601307373124, Start Longitude: 79.95832152505585, End Latitude: 6.4134, End Longitude: 80.003183
ID: 3, Start Latitude: 6.5976491662908, Start Longitude: 79.95830088569733, End Latitude: 6.4134, End Longitude: 80.003183
ID: 2, Start Latitude: 6.5976526803736215, Start Longitude: 79.9582984311584, End Latitude: 6.4134, End Longitude: 80.003183
ID: 3, Start Latitude: 6.5976526803736215, Start Longitude: 79.9582984311584, End Latitude: 6.4134, End Longitude: 80.003183
ID: 5, Start Latitude: 6.5976793077369855, Start Longitude: 79.95828429896176, End Latitude: 6.4134, End Longitude: 80.003183
ID: 5, Start Latitude: 6.5976793077369855, Start Longitude: 79.95828429896176, End Latitude: 6.4134, End Longitude: 80.003183
